# Dump Cloned {
Points:
95231.421875 104053.976562 0
96592.78125 104057.21875 0
96651.75 104454.039062 0
97402.7890625 104080.765625 0
97452.1640625 104027.96875 0
96280.6640625 104241.78125 0
96181.6796875 104106.601562 0
96192.0390625 104052.835938 0
96252.171875 103990.859375 0
96628.7578125 103878.453125 0
96667.203125 103314.023438 0
96544.9140625 103273.898438 0
96572.8203125 103225.71875 0
96531.1953125 103180.210938 0
96339.1171875 103088.546875 0
95088.6875 103045.679688 0
95938.6640625 102989.382812 0
95059.171875 102925.914062 0
95949.9921875 102885.0625 0
95031.7578125 102805.140625 0
95943.1484375 102780.351562 0
95016.4609375 102683.851562 0
95938.140625 102675.367188 0
95013.2890625 102562.617188 0
95915.03125 102568.65625 0
95032.171875 102442.820312 0
97807.8125 104167.078125 0
97778.6171875 104136.476562 0
97798.015625 104092.789062 0
97779.0703125 104059.320312 0
97808.984375 104013.773438 0
97790.6875 103980.234375 0
97831.203125 103933.28125 0
97784.25 103906.101562 0
97825.6015625 103859.945312 0
97788.953125 103830.09375 0
97821.3125 103786.695312 0
97795.046875 103754.53125 0
97808.46875 103715.234375 0
97772.90625 103684.210938 0
97806.765625 103642.046875 0
97781.65625 103609.070312 0
97816.2734375 103567.679688 0
97791.765625 103534.445312 0
97807.2578125 103496.171875 0
97803.21875 103460.351562 0
97799.4921875 103424.507812 0
97753.7421875 103210.265625 0
97712.234375 103175.523438 0
97760.96875 103137.421875 0
97720.0703125 103102.046875 0
97729.4765625 103065.367188 0
97689.1953125 103029.015625 0
97709.2421875 102992.304688 0
97659.609375 102954.9375 0
97700.28125 102918.773438 0
97661.3046875 102880.78125 0
97702.609375 102845.335938 0
97654.3125 102806.179688 0
97696.234375 102771.367188 0
97658.6171875 102731.953125 0
97701.1328125 102697.882812 0
97664.2109375 102657.8125 0
98294.78125 102679.140625 0
97550.3046875 104289.65625 0
97471.9921875 104270.46875 0
97567.359375 104202.710938 0
97450.8046875 104192.664062 0
97547.34375 104126.585938 0
97577.328125 104038.671875 0
97540.625 103966.984375 0
97554.1484375 103884.585938 0
97458.328125 103863.226562 0
